Time (s),Ground Truth (N),Jacobian Estimate (N),In Contact
3.499999999999836,0.0,0.0,0
3.519999999999834,0.0,0.0,0
3.5399999999998317,0.0,0.0,0
3.5599999999998295,0.0,0.0,0
3.5799999999998273,0.0,0.0,0
3.599999999999825,0.0,0.0,0
3.619999999999823,0.0,0.0,0
3.6399999999998207,0.0,0.0,0
3.6599999999998185,0.0,0.0,0
3.6799999999998163,0.0,0.0,0
3.699999999999814,0.0,0.0,0
3.719999999999812,0.0,0.0,0
3.7599999999998075,25.550742702128638,25.55126461021906,1
3.7799999999998053,39.90279859698535,39.90320568851306,1
3.799999999999803,46.49974459999858,46.50014208615392,1
3.819999999999801,40.07800380661867,40.078884663522565,1
3.8399999999997987,43.21105865540315,43.212127312081286,1
3.8599999999997965,19.58199590568776,50.86843631341882,1
3.8799999999997943,58.408509624723145,58.40951718165566,1
3.9399999999997877,59.2071734752607,59.208095868425595,1
3.9599999999997855,58.573334406814396,58.57449853436196,1
3.9799999999997833,16.871230272573246,56.684108605021144,1
3.999999999999781,59.009949695516,59.01098142290954,1
4.019999999999779,58.47788897724476,58.47915062946967,1
4.059999999999775,58.33866466355535,58.34000129892639,1
4.0999999999997705,58.71098092998998,58.71217811903835,1
4.179999999999762,58.49332352122164,58.494620374297774,1
4.1999999999997595,58.68348597153308,58.684743574752055,1
4.219999999999757,17.581770752980155,56.35890027578301,1
4.259999999999753,58.62879179166423,58.63010731210143,1
4.37999999999974,58.68573955168506,58.68707355884226,1
4.479999999999729,58.69793645773276,58.699328959322955,1
4.499999999999726,58.931477371655596,58.93281335526105,1
4.519999999999724,56.41852908514491,56.42112843723304,1
4.539999999999722,58.58909398336175,58.59052982300488,1
4.55999999999972,58.716428555121055,58.71784636736031,1
4.579999999999718,58.853623036034996,58.854991655607684,1
4.599999999999715,59.004587600309165,59.00594646669602,1
4.619999999999713,58.90150131677663,58.90288714640499,1
4.639999999999711,58.90776235565928,58.90915262051886,1
4.659999999999709,58.85183058090383,58.85324283221338,1
4.679999999999707,58.851812584957244,58.85324518146182,1
4.699999999999704,58.8726231192651,58.87405929470787,1
4.719999999999702,58.930034117734095,58.93145292472639,1
4.7399999999997,58.935705565398095,58.937129083333645,1
4.759999999999698,58.89033393494735,58.89178594706571,1
4.779999999999696,58.90957026566047,58.911006232367285,1
4.799999999999693,58.92969809811581,58.93113780604323,1
4.819999999999691,58.93330246929201,58.93474700682006,1
4.839999999999689,58.934651917647784,58.936100168732175,1
4.859999999999687,58.93929027084867,58.94076002533616,1
